hex	Family
#4F7BB0	Bifidobacteriaceae
#FFA849	Bacteroidaceae
#28CCF1	Porphyromonadaceae
#E7298A	Rikenellaceae
#AA672B	Enterococcaceae
#6B93D4	Streptococcaceae
#A6CEE3	Clostridiaceae
#66A61E	Lachnospiraceae
#CCCC00	Peptostreptococcaceae
#1F78B4	Ruminococcaceae
#0000CC	Veillonellaceae
#FFFF99	Erysipelotrichaceae
#005884	Fusobacteriaceae
#5298A1	Desulfovibrionaceae
#6A3D9A	Enterobacteriaceae
#8DCAB9	Desulfovibrionaceae
#eb93ee	Acidaminococcaceae
#8D6100	Butyricicoccaceae
#8D6100	Hydrogenoanaerobacterium
#8D6100	Oscillospiraceae
#daa520	Anaerovoracaceae
#daa520	Family_XI
#daa520	Peptostreptococcaceae
#123561	Eggerthellaceae
#FFFF72	Erysipelatoclostridiaceae
#B0848D	Sutterellaceae
#9ec3f1	Tannerellaceae
